file,prod,cum_freq,idiosincracy_index
bsn,1.4295139167263664,2.310987561606737,0.4880824872276587
rus,0.07190888921550631,-1.1275368789285194,-0.9699030307534833
fra,-0.18915585808333515,-0.5287006395096614,-0.8611772078997363
kor,-1.2116594516704642,-2.410676989681145,-0.9619438480584783
fij,-0.8854424201417198,-0.09070917680366915,-0.06584694465634261
mzh,-0.2508910644690123,0.19749282375982372,0.5188126793950977
gug,-0.2270854221542401,-0.49026834594867646,-0.29426792124486983
swh,0.20437760697665486,-0.7549526773352073,-0.9828240939242965
ell,0.019058085224816057,-0.3745694538268,-0.3994398356525106
eng,-0.9362429774258747,-0.4544089255967955,0.4790586819133323
hae,0.2988028580720909,0.1669801555456113,-0.6126874209425879
cha,-0.10555135349461363,-0.3375844014459363,-0.602916601741045
pes,-0.7801964225395691,-1.1793963545495134,-0.4310420876895671
kew,-0.1513401966072376,0.7495349316881106,0.08826655860503238
tha,-1.3317127865975928,-0.4853638063938231,2.1754713791856397
mig,-0.04484127046220419,0.33345309240339116,-0.0906818712848477
arz,1.214465817729764,-0.3051822794687879,-1.211587315807753
yor,-1.2045974907923978,-1.0208028418946131,0.024934481103873828
qvi,2.499856600132655,1.8912474182278234,-0.8256924799420359
khk,0.0817045123689534,-0.6491030654669302,-0.8451425577416399
arn,0.7286712508756807,0.674318591465723,0.2580059004943843
amp,1.0179838416867877,0.7145599365018587,-0.08347573210103121
hau,-0.7800825199447615,-0.7524602064138882,-0.4604586116544332
aey,-0.1202447882247841,0.38261909138360495,0.5411432681200852
kat,0.14218679021174752,-0.7573647459687419,-0.9690685745481648
plt,0.10494064170968789,0.21727178655480778,-0.5783738540735965
yaq,0.45769697782858487,1.2522904372045072,0.4498446734718086
spa,-0.389054911970537,-0.6801785496956344,-0.46703140667257725
eus,0.1376306864194469,-0.5643188529981892,-0.9553252165560179
tur,0.5410736772276913,-0.835314763975802,-1.1067016426068748
sag,-1.2863795538641989,0.22470899817487244,1.9506339011545348
jac,-0.07753131517196318,0.9088922660769635,1.2729463190758605
ind,-0.17810730638700548,0.7980175112221559,0.06262516428018382
kal,3.246602011690772,-0.11872937409656292,-1.4162158141811865
tgl,-0.19132000738467805,0.038778707673246614,-0.10373806228938966
vie,-1.3274983905897144,-1.093446308907897,1.6286907513989666
xsu,-0.49407310438307267,1.6132565082129606,2.5421296660507515
hin,-1.1141588305152248,-1.2434769779137496,0.6440276096314858
dgz,-0.5406592656593494,0.5241271178843016,0.5380137183115666
yad,2.5286739566189578,1.7836289560282879,-0.581682876739158
fin,0.4723904125587552,-0.5457459245199726,-0.9458343150543721
laj,-0.9074256209395716,-0.9613453500779852,-0.2104619775028727
deu,-0.25704180458861847,-0.2991521078849514,-0.0458589446001909
mya,-1.29184687841496,0.525212548769392,3.1708199933498946
ape,0.2936772413057525,2.304997591166793,0.8444822432970238
apu,1.3049044780069368,1.4162307019970757,-0.28624776759821063
naq,-0.5219792401109157,-0.9678177342446361,-0.31236146254989844
